,Name,Address,Coordinates
180,Mokupapapa Discovery Center,"76 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.7267074, 'longitude': -155.0870115}"
181,Tin Shack Bakery,"15-1500 Akeakamai Lp Pāhoa, HI 96778","{'latitude': 19.4942503, 'longitude': -154.9437281}"
182,Hawaiian Shrimp Company,"315 Makaala St Hilo, HI 96720","{'latitude': 19.7016496478494, 'longitude': -155.062866772055}"
183,Perfect Harmony,"276 Keawe St Hilo, HI 96720","{'latitude': 19.7235453, 'longitude': -155.0865014}"
184,Panda Express,"368 E. Makaala Street Hilo, HI 96720","{'latitude': 19.6987018585205, 'longitude': -155.060897827148}"
185,Ning's Thai Cuisine,"15-2955 Pahoa Village Rd Pahoa, HI 96778","{'latitude': 19.494080996651, 'longitude': -154.94505}"
186,Hilo Municipal Golf Course,"340 Haihai St Hilo, HI 96720","{'latitude': 19.67669, 'longitude': -155.074466}"
187,Waioli Lounge,"71 Banyan Dr Hilo, HI 96720","{'latitude': 19.7280488328395, 'longitude': -155.066871643066}"
188,Floral Mart Hawaii,"738 Kinoole St Hilo, HI 96720","{'latitude': 19.7171591, 'longitude': -155.0842695}"
189,Napoleon's Bakery Hilo,"111 E Puainako St. Zippy's Hilo Hilo, HI 96720","{'latitude': 19.6971899, 'longitude': -155.0634102}"
190,Kula Shave Ice,"330 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.72358, 'longitude': -155.08504}"
191,Ling's Chop Suey House,"2100 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.691656, 'longitude': -155.067106}"
192,Sunlight Cafe,"1263 Kilauea Ave Ste 280B Hilo, HI 96720","{'latitude': 19.710168838501, 'longitude': -155.07600402832}"
193,Pizza Ala Slice,"111 E Puainako St Hilo, HI 96720","{'latitude': 19.696983, 'longitude': -155.064099}"
194,The Hot Dog Guy,"380 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.71732, 'longitude': -155.06502}"
195,Cheng's Chop Suey House,"138 Hualalai St Hilo, HI 96720","{'latitude': 19.71724667, 'longitude': -155.08275167}"
196,Big Island Birria Boss,"380 Kanoelehua Rd Hilo, HI 96720","{'latitude': 19.71732, 'longitude': -155.06502}"
197,Surf Break Cafe,"28-1692 Old Mamalahoa Hwy Honomu, HI 96728","{'latitude': 19.870379109163935, 'longitude': -155.11409593818942}"
198,Onomea Country Market & Cafe,"28-1099 Old Mamalahoa Hwy Pepeekeo, HI 96783","{'latitude': 19.83072044528586, 'longitude': -155.0971922}"
199,Baskin-Robbins,"2100 Kanoelehua Ave Ste D2 Hilo, HI 96720","{'latitude': 19.690083, 'longitude': -155.066279}"
200,Bite The Eye,"15-2059 Keaau Pahoa Rd Pahoa, HI 96778","{'latitude': 19.542447687269433, 'longitude': -154.97362078417123}"
201,Mr Cow,"315 Makaala St Hilo, HI 96720","{'latitude': 19.70124, 'longitude': -155.0636}"
202,Little Caesars Pizza,"125 Kekuanaoa St Ste 201 Hilo, HI 96720","{'latitude': 19.7116903442747, 'longitude': -155.076371600846}"
203,Fairway Grill,"340 Haihai St Hilo, HI 96720","{'latitude': 19.674220981513404, 'longitude': -155.07684572036214}"
204,Starbucks,"111 E Puainako St Hilo, HI 96720","{'latitude': 19.69871437, 'longitude': -155.06164099}"
205,Coco Cantina - Hilo,"194 Kilauea Ave Ste 105 Hilo, HI 96778","{'latitude': 19.7215621, 'longitude': -155.0856272}"
206,Hilo Yacht Club,"77 Laehala St Hilo, HI 96720","{'latitude': 19.736476832529, 'longitude': -155.03362345317}"
207,Hale Inu Sports Bar,"399 Hualani St Hilo, HI 96720","{'latitude': 19.71454632947158, 'longitude': -155.0739652819722}"
208,McDonald's,"2100 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.6912097, 'longitude': -155.0663614}"
209,Kurtistown Cafe,"17-353 Volcano Rd Kurtistown, HI 96760","{'latitude': 19.592985, 'longitude': -155.057269}"
210,Wailuku River State Park,"2-198 Rainbow Dr Hilo, HI 96720","{'latitude': 19.717954, 'longitude': -155.110627}"
211,Luquin’s Mexican Restaurant,"15-1448 Kahakai Blvd Pāhoa, HI 96778","{'latitude': 19.50447831040302, 'longitude': -154.95423068132354}"
