,Name,Address,Coordinates,Lat,Long,fast_food,user_ratings_total,bakery,cafe,meal_delivery,meal_takeaway,restaurant,food,hours_open,weight
516,Bananarama Bakery,"15-2929 Pahoa Village Rd Pāhoa, HI 96778",POINT (-154.9457505 19.4940349),19.4940349,-154.9457505,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
517,Honoli'i Beach Park,"180 Kahoa St Hilo, HI 96720",POINT (-155.0910392 19.7551816),19.7551816,-155.0910392,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
518,Subway,"194 Kilauea Ave Unit 104 Hilo, HI 96720",POINT (-155.0855018782 19.7216580059159),19.7216580059159,-155.0855018782,1,0.9999999999999994,0,1,0,1,0,0,,11.952380952380953
519,Boogie Woogie Pizza,"15-2937 Pahoa Village Rd Pahoa, HI 96778",POINT (-154.945601427 19.4939888827912),19.4939888827912,-154.945601427,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
520,Manas Aloha Farm,"Aloaka Falls Rd Pepeekeo, HI 96783",POINT (-155.145892711642 19.8491816458642),19.8491816458642,-155.145892711642,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
521,Minit Stop,"26 Kekela St Hilo, HI 96720",POINT (-155.0664372731925 19.69591966896939),19.69591966896939,-155.06643727319252,1,0.9999999999999994,0,1,0,1,0,0,,11.952380952380953
522,The Naha Stone,"300 Waianuenue Ave Hilo, HI 96720",POINT (-155.090758188028 19.7243654547628),19.7243654547628,-155.090758188028,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
523,L&L Hawaiian Barbecue,"315 Makaala St Ste 106-3 Waiakea Shopping Center Waiakea, HI 96720",POINT (-155.062777 19.701433),19.701433,-155.062777,1,0.9999999999999994,0,1,0,1,0,0,,11.952380952380953
524,McDonald's,"255 Kinoole St Hilo, HI 96720",POINT (-155.0874119 19.72321883584609),19.72321883584609,-155.0874119,1,0.9999999999999994,0,1,0,1,0,0,,11.952380952380953
525,I Want Ice Cream,"15-2660 Pahoa Village Rd Ste 202 Pāhoa, HI 96778",POINT (-154.95806 19.50504),19.50504,-154.95806,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
526,Cinnabon,"111 E Puainako St Ste 432 Hilo, HI 96720",POINT (-155.063918 19.69775),19.69775,-155.063918,1,0.9999999999999994,0,1,0,1,0,0,,11.952380952380953
