id,name,categories,longitude,latitude,display_address
ChIJT-p_0jNLUnkR6pz-E1j8ACU,4-H Youth Development Program,"university, point_of_interest, establishment",-155.0899181,19.6962318,"875 Komohana St, Hilo, HI 96720, USA"
ChIJsdQxZzZLUnkRvKrbC-puu20,Imiloa Astronomy Center,"museum, point_of_interest, establishment",-155.0886773,19.7011173,"600 Imiloa Pl, Hilo, HI 96720, USA"
ChIJVTRUUTFLUnkR5lgnWA6b-Yk,Daniel K. Inouye College of Pharmacy,"university, point_of_interest, establishment",-155.0903547,19.6992338,"722 South Aohoku Place, Hilo, HI 96720, USA"
ChIJARW3_zVLUnkR6kIue0QZG0U,Institute For Astronomy,"university, point_of_interest, establishment",-155.0900986,19.703540699999998,"640 N Aohoku Pl #209, Hilo, HI 96720, USA"
ChIJU06GADdLUnkRIpZ4MJFmPT4,Haleʻōlelo,"school, point_of_interest, establishment",-155.08545759999998,19.700047899999998,"113 Nowelo St, Hilo, HI 96720, USA"
ChIJN9yQmzZLUnkRYxnWCAcOBkk,DKICP Pharmacy School,"school, point_of_interest, establishment",-155.08930279999998,19.6980704,"N Aohoku Pl, Hilo, HI 96720, USA"
ChIJPZEicQBLUnkRv4dyJy-yQsA,Lehua Restaurant,"restaurant, point_of_interest, food, establishment",-155.0886207,19.701079099999998,"600 Imiloa Pl, Hilo, HI 96720, USA"
ChIJL2EOK-FLUnkR9fGH1c5XZRA,Sagan Planet Walk- Alpha Centauri,"park, point_of_interest, establishment",-155.0888371,19.7002405,"Hilo, HI 96720, USA"
ChIJM0j1K8VLUnkRbvA9BU4VCR4,University of Hawai’i Astronomy Center,"museum, point_of_interest, establishment",-155.0888804,19.7008778,"Astronomy Center, N Aohoku Pl, Hilo, HI 96720, USA"
ChIJvS0fXDVLUnkRcMmKw8aaa80,Inside Kupuna Place Heights Housing @ Phase 1,"bus_stop, transit_station, point_of_interest, establishment",-155.094583,19.703861,"Hilo, HI 96720, USA"
ChIJ5RL5tktLUnkRzDBzxPTXkDM,Mohouli Park,"park, premise, point_of_interest, establishment",-155.0916998,19.7069194,"Hilo, HI 96720, USA"
ChIJgfkVe0lLUnkRDAimlA9833o,Mohouli Street @ Kumukoa Street,"bus_stop, transit_station, point_of_interest, establishment",-155.089361,19.706833,"Hilo, HI 96720, USA"
ChIJ1QhdjTlLUnkRyWLl1yh19_8,General Parking Lot,"parking, premise, point_of_interest, establishment",-155.082336,19.6974888,"W Kawili St, Hilo, HI 96720, USA"
ChIJtXNoWjhLUnkRIzppYurNPPU,University of Hawaiʻi at Hilo,"university, point_of_interest, establishment",-155.0848929,19.699779799999998,"200 W Kawili St, Hilo, HI 96720, USA"
ChIJOZMxRzhLUnkRqtovHSA6VM8,Hale ‘Ikena,"parking, point_of_interest, establishment",-155.0823823,19.700654999999998,"521 W Lanikaula St, Hilo, HI 96720, USA"
ChIJbZfjNjhLUnkRIJMGp2I9R2g,"UH Hilo College Of Agriculture, Forestry, And Natural Resource Management","university, point_of_interest, establishment",-155.08267519999998,19.700205099999998,"113 Nowelo St, Hilo, HI 96720, USA"
ChIJd5VHYxhLUnkR2T_0QeSbNHw,Palm Garden,"park, point_of_interest, establishment",-155.0833111,19.7009403,"Hilo, HI 96720, USA"
ChIJDfudcjpLUnkR3421eA0AWUQ,School,"school, point_of_interest, establishment",-155.0829154,19.700409,"200 W Kawili St, Hilo, HI 96720, USA"
ChIJh8OZXTpLUnkR0I8JjdivsiQ,College of Agri Forestry,"university, point_of_interest, establishment",-155.0822604,19.7002,"Business Office, 200 W Kawili St, Hilo, HI 96720, USA"
ChIJOZMxRzhLUnkRYMEMxBWm0fo,Parking lot,"parking, premise, point_of_interest, establishment",-155.0819651,19.700723399999998,"Hilo, HI 96720, USA"
ChIJ5V_goklLUnkRCSHw9ZFFp-E,Botanical Garden at University of Hawaii - Hilo,"park, point_of_interest, establishment",-155.08211939999998,19.703000799999998,"485 W Lanikaula St, Hilo, HI 96720, USA"
