,Name,place_id,Address,Coordinates,business_status,types,category
18,Dreams of Paradise Gallery,ChIJ1fgg61dLUnkRy66XkKZt1_8,"308 Kamehameha Avenue #106, Hilo","{'lat': 19.723813, 'lng': -155.0850997}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
19,Wild HeArtist,ChIJBwdw11dLUnkR5jiB6n4pSpw,"216 Kamehameha Avenue, Hilo","{'lat': 19.7250183, 'lng': -155.0861214}",OPERATIONAL,"['art_gallery', 'store', 'point_of_interest', 'establishment']",art_gallery
20,The Edge Explorer Fine Art Gallery,ChIJEdpWf19NUnkRre_rKVNcUrA,"114 Kamehameha Avenue, Hilo","{'lat': 19.7261442, 'lng': -155.0867744}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
21,Brokenhardened,ChIJoQSDe8RNUnkRsFbGj1InS40,"110 Kamehameha Avenue, Hilo","{'lat': 19.72618019999999, 'lng': -155.0867713}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
22,Hawaiian Mako Design,ChIJp5Gd3vdNUnkRccI0Sqnsqtc,"25 Shipman Street, Hilo","{'lat': 19.7268266, 'lng': -155.0874172}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
23,The Jeff Gomes Gallery,ChIJjxNSvX1KUnkRYXo5vFFDngM,"16177 Melekahiwa Street, Keaau","{'lat': 19.6383177, 'lng': -155.0467877}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
24,Arnott's Lodge and Hiking Adventures,ChIJaYIHGmRMUnkRGhIxsFGTAL8,"98 Apapane Road, Hilo","{'lat': 19.7344686, 'lng': -155.0413173}",OPERATIONAL,"['campground', 'park', 'lodging', 'travel_agency', 'point_of_interest', 'establishment']",campground
25,US Forestry Department,ChIJS8VF1EFLUnkRBEkRwY2KI48,"25 East Kawili Street, Hilo","{'lat': 19.7040457, 'lng': -155.0723211}",OPERATIONAL,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",campground
26,Malulani Ranch,ChIJodzIqr21U3kRG1aCLQIXlx0,"1261 Country Club Drive, Hilo","{'lat': 19.6738698, 'lng': -155.1581807}",OPERATIONAL,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",campground
27,Enterprise Rent-A-Car,ChIJz-JWSGxLUnkRckMIzwg4Z-o,"10 Halekauila Street, Hilo","{'lat': 19.7043293, 'lng': -155.0639152}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
28,Harp Car Rental,ChIJbbzHDINMUnkRj7P8_do3rMA,"300 Kalanianaole Street, Hilo","{'lat': 19.7248018, 'lng': -155.0594064}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
29,Avis Car Rental,ChIJJ2IAB4RLUnkRyKviPlpaYwY,"1 General Lyman Field, Hilo","{'lat': 19.71490469999999, 'lng': -155.0396166}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
